4Z5LZ-2,CQPLANET.COM:7300
6L0NJ,DXC.DX.OR.KR:23
7N4TWL-7,7N4TWL.HOMEIP.NET:8000
9A0CSI,DXC.HAM.HR:7300
9A0DXC,9A0DXC.HAMRADIO.HR:8000
9A1CIG-2,DXC9A1CIG.NO-IP.ORG:7373
AB5K,64.128.19.154:23
AE5E-1,DXSPOTS.COM:23
AI9T,DXC.AI9T.COM:7300
AI9T-2,DXC.AI9T.COM:7373
CE4UYP-5,146.83.196.31:9000
CS5SEL-5,HAMRADIO.ISEL.IPL.PT:41112
CX2SA-6,CX2SA.NET:9000
DB0ERF-5,WWW.DB0ERF.DE:41113
DB0HGW-6,DB0HGW.DYNDNS.ORG:4111
DB0HST-6,DXC.DB0HST.DE:8005
DB0LJ-6,DX.PRGM.ORG:41112
DB0SPC-7,DB0SPC.ATH.CX:8000
DB0SUE-7,DB0SUE.DE:8000
EA1DX,84.236.130.5:9000
EA4RCH-5,EA4RCH.DXFUN.COM:8000
EA4RCU-5,EA4RCU.SYTES.NET:7300
EA4RH-5,DX.RADIOCQ.COM:8000
EA5URM-5,EA5URM.DNS2GO.COM:7000
EA7URM-5,DX.EA7URM.ORG:8000
ED1ZAC-5,DX.ED1ZAC.NET:8000
EI7MRE,MAYODX.ATH.CX:7300
EI7SDX,SHANDX.ATH.CX:5000
F1OYP-6,F1OYP.NO-IP.ORG:7400
F1OYP-8,F1OYP.NO-IP.ORG:7373
F5MZN-3,F5MZN.ORG:9000
F6BVP-3,F6BVP.ORG:7300
F6KBK-3,F6GCP-PAT.DYNDNS.ORG:7300
F6KDF-8,F6KDF.ATH.CX:7300
GB7BAA,GB7BAA.COM:7300
GB7DJK,GB7DJK.DXCLUSTER.NET:7300
GB7DXG-3,GB7DXG.SHACKNET.NU:23
GB7DXS,81.149.0.149:7300
GB7MBC,WWW.GB7MBC.NET:8000
GB7NHR,GB7NHR.SHACKNET.NU:7300
GB7RAU,G7RAU.DEMON.CO.UK:7374
GB7UJS,GB7UJS.SHACKNET.NU:7373
HA6DX,DX.HU:9000
HB9DRV-9,SPIDER.HAM-RADIO-DELUXE.COM:8000
HB9IAC-8,DXC.IAPC.CH:8000
HB9ON-9,WWW.HB9ON.ORG:8000
HG8PRC,HG8LXL.HAM.HU:8000
HP2AT-4,200.46.129.2:9000
HS0ZER-15,HS0ZER.NO-IP.COM:9000
I0INU-6,I0INU.DYNDNS.ORG:7300
I3ITX-6,CLUSTER.FUTURISTIC.IT:8000
IK2XDE-6,80.67.113.160:8000
IK3EDJ-6,IK3EDJ.DXGANG.NET:9000
IK4ICZ-6,IK4ICZ.DYNDNS.ORG:8000
IK5ZUK-6,IK5ZUK.DXCLUSTER.NET:8000
