;;;
;;;ЧЕРКАССКАЯ ОБЛАСТЬ - UR5С
;CH-01;18000 - 18499;г. Черкассы. Приднепровский р-н
;CH-02;;г. Черкассы. Сосновский р-н
;CH-03;20250 - 20254;Черкасская область, г. Ватутино
;CH-04;19500 - 19537;Черкасская область, Городищенский р-н
;CH-05;19800 - 19855;Черкасская область, Драбовский р-н
;CH-06;19200 - 19255;Черкасская область, Жашковский р-н
;CH-07;20200 - 20263;Черкасская область, Звенигородский р-н
;CH-08;19700 - 19705;Черкасская область, г. Золотоноша
;CH-09;19706 - 19775;Черкасская область, Золотоношский р-н
;CH-10;20800 - 20843;Черкасская область, Каменский р-н
;CH-11;19000 - 19009;Черкасская область, г. Канев
;CH-12;19010 - 19052;Черкасская область, Каневский р-н
;CH-13;20500 - 20545;Черкасская область, Катеринопольский р-н
;CH-14;19400 - 19455;Черкасская область, Корсунь-Шевченковский р-н
;CH-15;19300 - 19345;Черкасская область, Лысянский р-н
;CH-16;20100 - 20146;Черкасская область, Маньковский р-н
;CH-17;19100 - 19155;Черкасская область, Монастырищенский р-н
;CH-18;20700 - 20719;Черкасская область, г. Смела
;CH-19;20720 - 20756;Черкасская область, Смелянский р-н
;CH-20;20400 - 20455;Черкасская область, Тальновский р-н
;CH-21;20300 - 20319;Черкасская область, г. Умань
;CH-22;20320 - 20385;Черкасская область, Уманьский р-н
;CH-23;20000 - 20052;Черкасская область, Христиновский р-н
;CH-24;19600 - 19646;Черкасская область, Черкасский р-н
;CH-25;20900 - 20943;Черкасская область, Чигиринский р-н
;CH-26;19900 - 19973;Черкасская область, Чернобаевский р-н
;CH-27;20600 - 20655;Черкасская область, Шполянский р-н
;;;ЧЕРНОВИЦКАЯ ОБЛАСТЬ - UR5Y
;CN-01;58000 - 58499;г. Черновцы. Ленинский р-н
;CN-02;58000 - 58499;г. Черновцы. Першотравневый р-н
;CN-03;58000 - 58499;г. Черновцы. Садгорский р-н
;CN-04;59200 - 59288;Черновицкая область, Вижницкий р-н
;CN-05;60500 - 60546;Черновицкая область, Герцаевский р-н
;CN-06;60400 - 60499;Черновицкая область, Глыбокский р-н
;CN-07;59400 - 59455;Черновицкая область, Заставновский р-н
;CN-08;60100 - 60155;Черновицкая область, Кельменецкий р-н
;CN-09;59300 - 59359;Черновицкая область, Кицманский р-н
;CN-10;60236;Черновицкая область, г. Новоднестровск
;CN-11;60300 - 60365;Черновицкая область, Новоселицкий р-н
;CN-12;59100 - 59135;Черновицкая область, Путильский р-н
;CN-13;60200 - 60237;Черновицкая область, Сокирянский р-н
;CN-14;59000 - 59054;Черновицкая область, Сторожинецкий р-н
;CN-15;60000 - 60055;Черновицкая область, Хотинский р-н
;;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ - UR5R
;CR-01;14000 - 14499;г. Чернигов. Деснянский р-н
