бкюдхлхпяйне;ZDJ8;LN04BS;юдшцеъ;медеиярбсчыхи;цю;;
цхюцхмяйюъ;XRKG;KN94XV;юдшцеъ;медеиярбсчыхи;лн;AD-03;
йнмярек;HE7F;KN94LW;юдшцеъ;деиярбсчыхи;юнм;AD-07;
люийно;URKM;LN04BP;юдшцеъ;медеиярбсчыхи;цю;;
люийно (нйръапэяйхи);XRKM;LN04CP;юдшцеъ;деиярбсчыхи;дняюют;;
люийно (уюмяйюъ);XRKH;LN04AQ;юдшцеъ;деиярбсчыхи;лн;;
опнцпеяя;ZB1C;LN04CV;юдшцеъ;деиярбсчыхи;юнм;AD-03;
рюланбяйхи;ZDM7;LN04ES;юдшцеъ;деиярбсчыхи;юнм;AD-03;
скъо;ZAU2;KN95XB;юдшцеъ;деиярбсчыхи;цю;AD-05;
щмел;URKS;KN94LW;юдшцеъ;деиярбсчыхи;юнм;;
щмел (DZ);XRKD;KN94LW;юдшцеъ;деиярбсчыхи;дняюют;;
юйрюь;UNBD;NO30TH;юкрюи пеяосакхйю;деиярбсчыхи;цю;;
аюкшйвю;UNBL;NO31UH;юкрюи пеяосакхйю;медеиярбсчыхи;цю;;
цнпмн-юкрюияй;UNBG;NO21VW, NO21VX, NO21WX;юкрюи пеяосакхйю;деиярбсчыхи;цю;;
йнь-юцюв;UNBA;NN49HW;юкрюи пеяосакхйю;деиярбсчыхи;цю;;
нмцсдюи;UNBN;NO30BR, NO30BS;юкрюи пеяосакхйю;деиярбсчыхи;цю;;
сярэ-йнйяю;UNBU;NO20UG;юкрюи пеяосакхйю;деиярбсчыхи;цю;;
аюпмюск (хлемх цеплюмю рхрнбю);UNBB;NO13SI;юкрюияйхи йпюи;деиярбсчыхи;цю;;
ахияй;UNBI;NO22PL, NO22QL;юкрюияйхи йпюи;деиярбсчыхи;цю;;
бнквхую;UNBM;NO02DA, NO02EA;юкрюияйхи йпюи;деиярбсчыхи;цю;;
дфюгюрнп (рюкэлемйю);UNBT;NN39RQ;юкрюияйхи йпюи;медеиярбсчыхи;цю;;
йюлемэ-мю-нах;XNBK;NO03NS, NO03NT;юкрюияйхи йпюи;медеиярбсчыхи;лн;;
кеямни;XNBN;NO13XF, NO13XG;юкрюияйхи йпюи;деиярбсчыхи;дняюют;;
оюбкнбяй-2;UNBV;NO13LG;юкрюияйхи йпюи;деиярбсчыхи;цю;AL-41;
оерпноюбкнбяйне;UNBW;NO22AB, NO22BB;юкрюияйхи йпюи;медеиярбсчыхи;цю;;
псажнбяй;UNBR;NO01ON, NO01OO;юкрюияйхи йпюи;медеиярбсчыхи;цю;;
яхахпяйхи (анпнбхую);XNBR;NO13WN, NO13WO;юкрюияйхи йпюи;деиярбсчыхи;лн;;
якюбцнпнд (яебепмши);XNBS;MO93HB;юкрюияйхи йпюи;медеиярбсчыхи;лн;;
янкнмеьмне;UNBZ;NO21DP;юкрюияйхи йпюи;медеиярбсчыхи;цю;;
юлюпюмйю;XHXA;PO40TQ;юлспяйюъ нак;медеиярбсчыхи;лн;;
юпуюпю;UHBA;PN59AK, PN59AJ;юлспяйюъ нак;медеиярбсчыхи;цю;;
аекнцнпяй;XHBR;PO40FV;юлспяйюъ нак;медеиярбсчыхи;лн;;
акюцнбеыемяй (хцмюрэебн);UHBB;PO30QK, PO30QJ, PO30RK, PO30RJ;юлспяйюъ нак;деиярбсчыхи;цю;;
анлмюй;UHHG;PO44KR;юлспяйюъ нак;деиярбсчыхи;цю;;
бнгфюебйю;XHBW;PO40JS, PO40JR;юлспяйюъ нак;медеиярбсчыхи;лн;;
цнпмши;UHBX;PO44FP;юлспяйюъ нак;деиярбсчыхи;цю;;
гюбхрхмяй;XHBC;PO40RE, PO40SE;юлспяйюъ нак;медеиярбсчыхи;лн;;
геъ;UHBE;PO33NQ;юлспяйюъ нак;деиярбсчыхи;цю;;
йюунбйю;XHBH;PO40OT;юлспяйюъ нак;медеиярбсчыхи;лн;;
люцдюцювх;UHBI;PO23VL;юлспяйюъ нак;медеиярбсчыхи;цю;;
люияйхи;UHBM;PO42SH, PO42SG;юлспяйюъ нак;медеиярбсчыхи;цю;;
мнбнйхебяйхи сбюк;UHBN;PO41LP;юлспяйюъ нак;деиярбсчыхи;цю;;
нйръапэяйхи, дб рнхб;UHBO;PO43HA, PO42HX;юлспяйюъ нак;деиярбсчыхи;цю;;
ябнандмши;UHBS;PO41BL, PO41BK;юлспяйюъ нак;деиярбсчыхи;цю;;
рюланбйю;XHBY;PO40AD, PO40AC;юлспяйюъ нак;деиярбсчыхи;дняюют;;
ршмдю;UHBW;PO25JG;юлспяйюъ нак;медеиярбсчыхи;лн;;
сйпюхмйю (яепшьебн);XHBU;PO41FE, PO41FD;юлспяйюъ нак;деиярбсчыхи;лн;;
