Sov Mil Order of Malta:          28:  15:  EU:  042/348  1A:    1A;
Spratly Islands:                 50:  26:  AS:  010/246  1S:    1S,9M0,BM9S,BN9S,BO9S;
&   BP9S,BQ9S,BU9S,BV9S,BW9S,BX9S;
Monaco:                        * 27:  14:  EU:  044/353  3A:    3A;
Agalega & St. Brandon:           53:  39:  AF:  -10/303  3B6:   3B6,3B7;
Mauritius:                       53:  39:  AF:  -20/302  3B8:   3B8;
Rodriguez Island:                53:  39:  AF:  -20/297  3B9:   3B9;
Equatorial Guinea:               47:  36:  AF:  002/350  3C:    3C;
Annobon Island:                  52:  36:  AF:  -01/354  3C0:   3C0;
Fiji:                          * 56:  32:  OC:  -18/182  3D2:   3D2;
Conway Reef:                     56:  32:  OC:  -22/185  3D2/c: 3D2C;
Rotuma Island:                   56:  32:  OC:  -12/183  3D2/r: 3D2RI;
Swaziland:                       57:  38:  AF:  -27/329  3DA:   3DA;
Tunisia:                       * 37:  33:  AF:  035/351  3V:    3V,TS;
Vietnam:                         49:  26:  AS:  016/252  3W:    3W,XV;
Guinea:                          46:  35:  AF:  011/011  3X:    3X;
Bouvet:                          67:  38:  AF:  -54/357  3Y/b:  3Y0E;
Peter 1 Island:                  72:  12:  SA:  -69/091  3Y/p:  3Y0X;
Azerbaijan:                      29:  21:  AS:  040/313  4J:    4J,4K;
Georgia:                       * 29:  21:  AS:  042/315  4L:    4L;
Montenegro:                    * 28:  15:  EU:  042/341  4O:    4O;
Sri Lanka:                     * 41:  22:  AS:  008/279  4S:    4P,4Q,4R,4S;
ITU HQ:                        * 28:  14:  EU:  046/354  4U1I:  4U0ITU,4U1ITU,4U1WRC;
United Nations HQ:               08:  05:  NA:  041/074  4U1U:  4U1UN;
Vienna Intl Ctr:                 28:  15:  EU:  048/344  4U1V:  4U1A,4U1VIC;
Timor - Leste:                   54:  28:  OC:  -09/234  4W:    4W;
Israel:                        * 39:  20:  AS:  031/325  4X:    4X,4Z;
Libya:                           38:  34:  AF:  027/343  5A:    5A;
Cyprus:                        * 39:  20:  AS:  035/327  5B:    5B,C4,H2,P3;
Tanzania:                      * 53:  37:  AF:  -06/326  5H:    5H,5I;
Nigeria:                       * 46:  35:  AF:  010/352  5N:    5N,5O;
Madagascar:                      53:  39:  AF:  -19/313  5R:    5R,5S,6X;
Mauritania:                      46:  35:  AF:  021/010  5T:    5T;
Niger:                           46:  35:  AF:  018/351  5U:    5U;
Togo:                            46:  35:  AF:  008/359  5V:    5V;
Samoa:                         * 62:  32:  OC:  -14/172  5W:    5W;
Uganda:                        * 48:  37:  AF:  002/327  5X:    5X;
Kenya:                         * 48:  37:  AF:  000/322  5Z:    5Y,5Z;
Senegal:                       * 46:  35:  AF:  015/015  6W:    6V,6W;
Jamaica:                       * 11:  08:  NA:  018/077  6Y:    6Y;
Yemen:                           39:  21:  AS:  016/312  7O:    7O;
Lesotho:                         57:  38:  AF:  -29/332  7P:    7P;
Malawi:                          53:  37:  AF:  -14/326  7Q:    7Q;
Algeria:                       * 37:  33:  AF:  028/358  7X:    7R,7T,7U,7V,7W,7X,7Y;
Barbados:                      * 11:  08:  NA:  013/060  8P:    8P;
Maldives:                        41:  22:  AS:  004/287  8Q:    8Q;
Guyana:                        * 12:  09:  SA:  006/059  8R:    8R;
Croatia:                       * 28:  15:  EU:  045/345  9A:    9A;
Ghana:                         * 46:  35:  AF:  008/002  9G:    9G;
Malta:                         * 28:  15:  EU:  036/346  9H:    9H;
Zambia:                        * 53:  36:  AF:  -14/333  9J:    9I,9J;
Kuwait:                        * 39:  21:  AS:  029/313  9K:    9K,NLD;
Sierra Leone:                    46:  35:  AF:  008/013  9L:    9L;
West Malaysia:                 * 54:  28:  AS:  004/258  9M2:   9M,9W;
East Malaysia:                 * 54:  28:  OC:  003/247  9M6:   9M6,9M8,9W6,9W8,9M4CBP;
&   9M4SAB;
Nepal:                           42:  22:  AS:  028/275  9N:    9N;
Dem. Rep. of the Congo:        * 52:  36:  AF:  -03/337  9Q:    9O,9P,9Q,9R,9S,9T;
Burundi:                         52:  36:  AF:  -03/330  9U:    9U;
Singapore:                     * 54:  28:  AS:  001/256  9V:    9V,S6;
Rwanda:                          52:  36:  AF:  -02/330  9X:    9X;
Trinidad & Tobago:             * 11:  09:  SA:  010/061  9Y:    9Y,9Z;
Botswana:                      * 57:  38:  AF:  -22/336  A2:    8O,A2;
Tonga:                           62:  32:  OC:  -21/175  A3:    A3;
Oman:                          * 39:  21:  AS:  024/301  A4:    A4;
Bhutan:                          41:  22:  AS:  027/270  A5:    A5;
United Arab Emirates:            39:  21:  AS:  024/306  A6:    A6;
Qatar:                         * 39:  21:  AS:  025/309  A7:    A7;
Bahrain:                       * 39:  21:  AS:  026/309  A9:    A9;
Pakistan:                      * 41:  21:  AS:  030/290  AP:    6P,6Q,6R,6S,AP,AQ,AR,AS;
Scarborough Reef:                50:  27:  AS:  015/242  BS7:   BS7H;
Taiwan:                        * 44:  24:  AS:  024/239  BV:    BM,BN,BO,BP,BQ,BU,BV,BW;
&   BX;
Pratas Island:                   44:  24:  AS:  021/243  BV9P:  BM9P,BN9P,BO9P,BP9P,BQ9P;
&   BU9P,BV9P,BW9P,BX9P;
China:                         * 44:  24:  AS:  036/258  BY:    3H,3I,3J,3K,3L,3M,3N,3O;
&   3P,3Q,3R,3S,3T,3U,B0,B2,B3,B4,B5,B6,B7,B8,B9,BA,BD,BG,BH,BI,BJ,BL,BT,BY,BZ,XS,B1;
Nauru:                           65:  31:  OC:  -01/193  C2:    C2;
Andorra:                       * 27:  14:  EU:  043/358  C3:    C3;
The Gambia:                      46:  35:  AF:  013/016  C5:    C5;
Bahamas:                         11:  08:  NA:  024/076  C6:    C6;
Mozambique:                    * 53:  37:  AF:  -18/325  C9:    C8,C9;
Chile:                         * 14:  12:  SA:  -30/071  CE:    3G,CA,CB,CC,CD,CE,XQ,XR;
San Felix & San Ambrosio:        14:  12:  SA:  -26/080  CE0X:  3G0X,CA0X,CB0X,CC0X,CD0X;
&   CE0X,XQ0X,XR0X;
Easter Island:                   63:  12:  SA:  -27/109  CE0Y:  3G0,CA0,CB0,CC0,CD0,CE0;
&   XQ0,XR0;
Juan Fernandez Islands:          14:  12:  SA:  -34/079  CE0Z:  3G0Z,CA0Z,CB0Z,CC0Z,CD0Z;
&   CE0I,CE0Z,XQ0Z,XR0Z;
Antarctica:                      74:  13:  SA:  -90/360  CE9:   3Y,AX0,AY1Z,AY2Z,AY3Z;
&   AY4Z,AY5Z,AY6Z,AY7Z,AY8Z,AY9Z,FT0Y,FT1Y,FT2Y,FT4Y,FT5Y,FT8Y,LU1Z,LU2Z,LU3Z,LU4Z,LU5Z;
&   LU6Z,LU7Z,LU8Z,LU9Z,RI1AN,VI0,VK0,ZL5,ZM5,ZS7,8J1RL,8T2BH,DP0GVN,DP1POL,KC4AAA,KC4AAC;
&   OP0LE,VP8ADE,VP8ROT;
Cuba:                          * 11:  08:  NA:  022/080  CM:    CL,CM,CO,T4;
Morocco:                         37:  33:  AF:  032/005  CN:    5C,5D,5E,5F,5G,CN;
Bolivia:                       * 12:  10:  SA:  -17/065  CP:    CP;
Portugal:                      * 37:  14:  EU:  040/008  CT:    CQ,CR,CS,CT;
Madeira Islands:               * 36:  33:  AF:  033/017  CT3:   CQ2,CQ3,CQ9,CR3,CR9,CS3;
&   CS9,CT3,CT9;
Azores:                        * 36:  14:  EU:  039/027  CU:    CQ1,CQ8,CR1,CR2,CR8,CS4;
&   CS8,CT8,CU;
Uruguay:                       * 14:  13:  SA:  -33/056  CX:    CV,CW,CX;
Sable Island:                    09:  05:  NA:  044/060  CY0:   CY0;
St. Paul Island:                 09:  05:  NA:  047/060  CY9:   CY9;
Angola:                          52:  36:  AF:  -12/342  D2:    D2,D3;
Cape Verde:                      46:  35:  AF:  016/024  D4:    D4;
Comoros:                         53:  39:  AF:  -12/317  D6:    D6;
Fed. Rep. of Germany:          * 28:  14:  EU:  051/350  DL:    DA,DB,DC,DD,DE,DF,DG,DH;
&   DI,DJ,DK,DL,DM,DN,DO,DP,DQ,DR;
Philippines:                   * 50:  27:  OC:  013/238  DU:    4D,4E,4F,4G,4H,4I,DU,DV;
&   DW,DX,DY,DZ;
Eritrea:                         48:  37:  AF:  015/321  E3:    E3;
Palestine:                       39:  20:  AS:  031/326  E4:    E4;
North Cook Islands:              62:  32:  OC:  -10/161  E5/n:  E51PT,E51WL;
South Cook Islands:              63:  32:  OC:  -22/158  E5/s:  E5;
Niue:                            62:  32:  OC:  -19/170  E6:    E6;
Bosnia-Herzegovina:            * 28:  15:  EU:  044/342  E7:    E7;
Spain:                         * 37:  14:  EU:  040/005  EA:    AM,AN,AO,EA,EB,EC,ED,EE;
&   EF,EG,EH;
Balearic Islands:              * 37:  14:  EU:  040/357  EA6:   AM6,AN6,AO6,EA6,EB6,EC6;
&   ED6,EE6,EF6,EG6,EH6;
Canary Islands:                * 36:  33:  AF:  028/015  EA8:   AM8,AN8,AO8,EA8,EB8,EC8;
&   ED8,EE8,EF8,EG8,EH8;
Ceuta & Melilla:               * 37:  33:  AF:  036/005  EA9:   AM9,AN9,AO9,EA9,EB9,EC9;
&   ED9,EE9,EF9,EG9,EH9,EA5RKB/9;
Ireland:                       * 27:  14:  EU:  053/008  EI:    EI,EJ;
Armenia:                       * 29:  21:  AS:  040/315  EK:    EK;
Liberia:                       * 46:  35:  AF:  006/010  EL:    5L,5M,6Z,A8,D5,EL;
Iran:                          * 40:  21:  AS:  032/307  EP:    9B,9C,9D,EP,EQ;
Moldova:                       * 29:  16:  EU:  047/331  ER:    ER;
Estonia:                       * 29:  15:  EU:  059/335  ES:    ES;
Ethiopia:                        48:  37:  AF:  009/321  ET:    9E,9F,ET;
Belarus:                       * 29:  16:  EU:  054/332  EU:    EU,EV,EW;
Kyrgyzstan:                    * 30:  17:  AS:  042/286  EX:    EX;
Tajikistan:                    * 30:  17:  AS:  039/289  EY:    EY;
Turkmenistan:                  * 30:  17:  AS:  038/302  EZ:    EZ;
France:                        * 27:  14:  EU:  046/358  F:     F,HW,HX,HY,TH,TM,TP,TQ,TV;
Guadeloupe:                    * 11:  08:  NA:  016/062  FG:    FG,TO66R,TO6D;
Mayotte:                       * 53:  39:  AF:  -13/315  FH:    FH;
St. Barthelemy:                * 11:  08:  NA:  018/063  FJ:    FJ;
New Caledonia:                 * 56:  32:  OC:  -22/194  FK:    FK;
Chesterfield Islands:            56:  30:  OC:  -20/202  FK/c:  TX3X;
Martinique:                    * 11:  08:  NA:  015/061  FM:    FM,TO5A,TO5T,TO7A,TO972M;
French Polynesia:              * 63:  32:  OC:  -18/149  FO:    FO;
Austral Islands:                 63:  32:  OC:  -23/149  FO/a:  TX5W;
Clipperton Island:               10:  07:  NA:  010/109  FO/c:  TX5P;
Marquesas Islands:               63:  31:  OC:  -09/140  FO/m:  TX7EU;
St. Pierre & Miquelon:         * 09:  05:  NA:  047/056  FP:    FP;
Reunion Island:                * 53:  39:  AF:  -21/305  FR:    FR,TO1TAAF;
St. Martin:                    * 11:  08:  NA:  018/063  FS:    FS;
Glorioso Islands:                53:  39:  AF:  -12/313  FT/g:  FT0G,FT1G,FT2G,FT3G,FT4G;
&   FT5G,FT6G,FT7G,FT8G,FT9G;
Juan de Nova; Europa:            53:  39:  AF:  -17/317  FT/j:  FT0E,FT0J,FT1E,FT1J,FT2E;
&   FT2J,FT3E,FT3J,FT4E,FT4J,FT6E,FT6J,FT7E,FT7J,FT8E,FT8J,FT9E,FT9J;
Tromelin Island:                 53:  39:  AF:  -16/306  FT/t:  FT0T,FT1T,FT2T,FT3T,FT4T;
&   FT5T,FT6T,FT7T,FT8T,FT9T;
Crozet Island:                   68:  39:  AF:  -46/308  FT/w:  FT0W,FT4W,FT5W,FT8W;
Kerguelen Islands:               68:  39:  AF:  -49/291  FT/x:  FT0X,FT2X,FT4X,FT5X,FT8X;
Amsterdam & St. Paul Is.:        68:  39:  AF:  -38/282  FT/z:  FT0Z,FT1Z,FT2Z,FT4Z,FT5Z;
&   FT8Z;
Wallis & Futuna Islands:         62:  32:  OC:  -13/176  FW:    FW,TW;
French Guiana:                   12:  09:  SA:  004/053  FY:    FY,TO1A,TO2A;
England:                       * 27:  14:  EU:  053/001  G:     2E,2K,G,M;
Isle of Man:                   * 27:  14:  EU:  054/005  GD:    2D,GD,GT,MD,MT;
Northern Ireland:              * 27:  14:  EU:  055/007  GI:    2I,GI,GN,MI,MN,GB0BTC;
&   GB0GPF,GB0PAT,GB0SPD,GB1SPD,GB2BOA,GB2DMR,GB3NGI,GB4UAS,GB5SPD,GB8SPD;
Jersey:                        * 27:  14:  EU:  049/002  GJ:    2J,GH,GJ,MH,MJ,GB2JSA;
Shetland Islands:                27:  14:  EU:  060/002  GM/s:  GZ,MZ,2M0BDR,2M0BDT;
&   2M0CPN,2M0GFC,2M0SEG,2M0SPX,2M0ZET,GB2ELH,GB3LER,GB4LER,GM0CXQ,GM0EKM,GM0GFL,GM0GFL/P;
&   GM0ILB,GM0JDB,GM1FGN,GM1KKI,GM1ZNR,GM3KLA,GM3WHT,GM3ZET,GM4IPK,GM4JPI,GM4LBE,GM4LER;
&   GM4PXG,GM4SLV,GM4SSA,GM4WXQ,GM4ZHL,GM6RQW,GM6YQA,GM7AFE,GM7GWW,GM8LNH,GM8MMA,GM8YEC;
&   GS3ZET,MM0LSM,MM0XAU,MM0ZAL,MM0ZCG,MM1FJM,MM3VQO,MM5PSL,MM5YLO,MM6BDU,MM6BZQ,MM6MFA;
&   MM6PTE,MM6SJK,MM6ZBG,MM6ZDW,MS0ZCG,MS0ZET;
Scotland:                      * 27:  14:  EU:  057/004  GM:    2A,2M,GA,GM,GS,GZ,MA,MM;
&   MS,MZ,GB0GDS,GB0GGR,GB0NHL,GB1OL,GB2ELH,GB2GNL,GB2OWM,GB3ANG,GB3LER,GB3ORK,GB4LER;
&   GB5AG,GB5FHC,GM0GFL/P;
Guernsey:                      * 27:  14:  EU:  049/003  GU:    2U,GP,GU,MP,MU;
Wales:                         * 27:  14:  EU:  052/004  GW:    2W,GC,GW,MC,MW,GB0AVR;
&   GB0MPA,GB0RSC,GB2GVA,GB2IMD,GB2MOP,GB4MD,GB4MDI,GB4PCS,GB4SDD,GB75ATC;
Solomon Islands:               * 51:  28:  OC:  -09/200  H4:    H4;
Temotu Province:                 51:  32:  OC:  -11/194  H40:   H40;
Hungary:                       * 28:  15:  EU:  047/341  HA:    HA,HG;
Switzerland:                   * 28:  14:  EU:  047/352  HB:    HB,HE,4U1G;
Liechtenstein:                 * 28:  14:  EU:  047/350  HB0:   HB0,HE0;
Ecuador:                       * 12:  10:  SA:  -01/078  HC:    HC,HD;
Galapagos Islands:               12:  10:  SA:  -01/091  HC8:   HC8,HD8;
Haiti:                           11:  08:  NA:  019/072  HH:    4V,HH;
Dominican Republic:            * 11:  08:  NA:  019/071  HI:    HI;
Colombia:                      * 12:  09:  SA:  005/074  HK:    5J,5K,HJ,HK;
San Andres & Providencia:      * 11:  07:  NA:  013/082  HK0/a: 5J0,5K0,HJ0,HK0;
Malpelo Island:                  12:  09:  SA:  004/082  HK0/m: HJ0M,HK0M,HK0TU;
Republic of Korea:             * 44:  25:  AS:  036/232  HL:    6K,6L,6M,6N,D7,D8,D9,DS;
&   DT,HL,KL9K;
Panama:                        * 11:  07:  NA:  009/080  HP:    3E,3F,H3,H8,H9,HO,HP;
Honduras:                      * 11:  07:  NA:  015/087  HR:    HQ,HR;
Thailand:                      * 49:  26:  AS:  013/260  HS:    E2,HS;
Vatican City:                    28:  15:  EU:  042/348  HV:    HV;
Saudi Arabia:                  * 39:  21:  AS:  024/316  HZ:    7Z,8Z,HZ;
Italy:                         * 28:  15:  EU:  043/347  I:     I,4U0WFP,4U1GSC,4U20B;
&   4U5F,4U6F;
African Italy:                   37:  33:  AF:  036/347  IG9:   IG9,IH9;
Sardinia:                      * 28:  15:  EU:  040/351  IS:    IM0,IS,IW0U,IW0V,IW0W;
&   IW0X,IW0Y,IW0Z,II0ICH,II0IDP,IQ0AG,IQ0AG/P,IQ0AH,IQ0AI,IQ0AK,IQ0AK/P,IQ0AL,IQ0AL/P;
&   IQ0AM,IQ0AM/P,IQ0EH,IQ0HO,IQ0ID,IQ0NU,IQ0NU/P,IQ0NV,IQ0NV/P,IQ0OG,IQ0QP,IQ0SS,IQ0XP;
&   IY0GA;
Sicily:                          28:  15:  EU:  038/346  IT9:   IB9,ID9,IE9,IF9,II9,IJ9;
&   IO9,IQ9,IR9,IT9,IU9,IW9;
Djibouti:                      * 48:  37:  AF:  012/318  J2:    J2;
Grenada:                       * 11:  08:  NA:  012/062  J3:    J3;
Guinea-Bissau:                   46:  35:  AF:  012/015  J5:    J5;
St. Lucia:                       11:  08:  NA:  014/061  J6:    J6;
Dominica:                      * 11:  08:  NA:  015/061  J7:    J7;
St. Vincent:                     11:  08:  NA:  013/061  J8:    J8;
Japan:                         * 45:  25:  AS:  036/222  JA:    7J,7K,7L,7M,7N,8J,8K,8L;
&   8M,8N,JA,JE,JF,JG,JH,JI,JJ,JK,JL,JM,JN,JO,JP,JQ,JR,JS;
Minami Torishima:              * 90:  27:  OC:  024/206  JD/m:  JD1YAA,JG8NQJ/JD1;
Ogasawara:                     * 45:  27:  AS:  027/218  JD/o:  JD1;
